alim_nom_fr,alim_code,kcal,proteins,carbohydrates,lipids,alim_nom_eng,kcal_control
Rouget-barbet de roche; vapeur,26110,143,24.1,0,5.2,Surmullet or red mullet; steamed,143
Saupe; crue,26111,94.5,18,0,2.5,Salema; raw,94.5
Chinchard; cru,26113,116,19,0,4.42,Horse mackerel; raw,116
Églefin; cru,26122,72.3,17.3,0,0.35,Haddock; raw,72.3
Congre; cru,26127,115,18.3,0,4.6,Conger; raw,115
Grenadier (de roche); cru,26128,68.9,15.4,0,0.81,Roundnose grenadier; raw,68.9
Lieu jaune ou colin; cru,26129,75.5,17.7,0,0.51,Pollack; raw,75.5
Julienne ou Lingue; crue,26130,80.8,19.2,0,0.44,Ling; raw,80.8
Tacaud; cru,26133,81.6,19.7,0,0.33,Pouting; raw,81.6
Lieu noir; cru,26134,82.5,18.8,0,0.8,Saithe; raw,82.5
Limande-sole; crue,26135,80.6,17,0,1.4,Lemon sole; raw,80.6
Foie de morue; cru,26141,619,5,0,66.6,Cod liver; raw,619
Vivaneau; cru,26146,94.1,20.5,0,1.34,Snapper; raw,94.1
Sabre; cru,26153,125,18,0,5.9,Largehead hairtail; raw,125
Flétan du Groënland ou flétan noir ou flétan commun; cru,26154,168,13.5,0,12.7,Greenland halibut; raw,168
Carangue; cru,26157,104,19.9,0,2.7,Crevalle jack; raw,104
Coulirou; cru,26159,70.9,17.5,0,0.1,Bigeye scad; raw,70.9
Saumon; cru; sauvage,26161,166,21,0,9.17,Salmon; raw; wild,166
Requin; cru,26162,109,20.8,0,2.91,Shark; raw,109
Orphie commune; crue,26166,133,20,0,5.91,Garfish; raw,133
Lompe; crue,26168,168,10,0,14.2,Lump fish; raw,168
Brème; cru,26170,104,16.9,0,4,Freshwater bream; raw,104
Omble chevalier; cru,26171,103,19.8,0,2.7,Arctic char; raw,103
Loup tacheté; cru,26172,108,16.3,0,4.8,Spotted wolffish,108
Sprat; cru,26173,186,19.8,0,11.9,European sprat; raw,186
Turbot; cru,26174,85.5,17.9,0,1.55,Turbot; raw,85.5
Corégone lavaret; cru,26175,115,20.5,0,3.72,European whitefish; raw,115
Mérou; cru,26178,82.3,18.6,0,0.86,Grouper; raw,82.3
Lingue bleue ou Lingue; crue,26194,79.6,18.9,0,0.44,Blue ling; raw,79.6
Sole tropicale ou Sole langue; crue,26200,68.2,15.7,0,0.58,Tonguesole; raw,68.2
Turbot d'élevage; cru,26201,109,18.3,0,3.94,Turbot; raw; farmed,109
Bar commun ou loup (Méditerranée); cru; sauvage,26205,97.9,20.1,0,1.94,Mediterranean bass; raw; wild,97.9
Bar commun ou loup (Méditerranée); cru; élevage,26206,124,21.4,0,4.25,Mediterranean bass; raw; farmed,124
Baudroie rousse ou Lotte; crue,26208,70.2,16.7,0,0.37,Anglerfish (Lophius budegassa); raw,70.2
Sébaste du nord; ou grand sébaste; ou dorade sébaste; ou daurade sébaste; crue,26210,89.5,18.8,0,1.6,Golden redfish; raw,89.5
Hoki; tout lieu de pêche; cru,26213,92.3,17.8,0,2.36,Grenadier; from any fishing spot; raw,92.3
Grenadier bleu ou hoki de Nouvelle-Zélande; cru,26214,75.5,15.6,0,1.46,Blue grenadier; raw,75.5
Grondin perlon; cru,26219,97.4,20.3,0,1.79,Tub gurnard; raw,97.4
Merlu blanc du Cap; surgelé; cru,26233,78,16.1,0,1.52,Shallow-water Cape hake; raw,78
Chinchard maigre; cru,26235,96.7,18.7,0,2.42,Horse mackerel; lean (spring; summer); raw,96.7
Chinchard gras; cru,26236,147,19.6,0,7.66,Horse mackerel; oily (autumn; winter); raw,147
Hareng maigre; cru,26237,111,18.3,0,4.22,Atlantic herring; lean; raw,111
Hareng gras; cru,26238,172,18.7,0,10.8,Atlantic herring; oily; raw,172
Joëls (petits poissons entiers) pour friture; crus,26240,88.9,17.5,0,2.1,Big-scale sand smelt (whole small fish); to fry; raw,88.9
Empereur; filet; sans peau; cru,26241,73.5,15,0,1.5,Blue shark; fillet; without skin; raw,73.5
Rouget-barbet; filet avec peau; surgelé; cru (Thaïlande; Sénégal…),26244,96.7,16.3,0,3.5,Surmullet or red mullet; fillet with skin; frozen; raw (from Thailand or Senegal),96.7
Carpe; crue; élevage,27003,114,17.7,0,4.76,Carp; raw; farmed,114
Truite d'élevage; crue,27008,133,19.3,0,6.22,Trout; farmed; raw,133
Truite arc en ciel; crue; élevage,27009,132,19,0,6.24,Rainbow trout; raw; farmed,132
Perche; crue,27010,82.2,17.9,0,1.19,European perch; raw,82.2
Brochet; cru,27011,83.7,18.8,0,0.94,Northern pike; raw,83.7
Esturgeon; cru,27012,123,17.7,0,5.84,Sturgeon; raw,123
Anguille; crue,27016,232,16.1,0,18.6,Eel; raw,232
Pangasius ou Poisson-chat; cru,27017,65.2,13.5,0,1.27,Brown bullhead; raw,65.2
Tilapia; cru,27019,91.6,18.1,0,2.13,Tilapia; raw,91.6
Truite saumonée; crue,27021,143,19.2,0,7.4,Salmon trout; raw,143
Lotte de rivière; crue,27023,77,17.8,0,0.66,Burbot; raw,77
Sandre; cru,27024,82.9,18.3,0,1.08,Pike-perch; raw,82.9
Perche du Nil; crue,27025,82.4,19.1,0,0.68,Nile perch; raw,82.4
Bigorneau; cuit,10000,0,16.3,0,3.5,Winkle; cooked,96.7
Coquille Saint-Jacques; noix et corail; cuite,10004,110,20.2,3.22,1.77,Scallop; with coral; cooked,110
Crevette grise; cuite,10006,89.9,18.3,1.47,1.2,Shrimp; cooked,89.9
Crevette; cuite,10007,93.8,19,1.87,1.16,Shrimp or prawn; cooked,93.8
Homard; bouilli/cuit à l'eau,10009,90.9,19.6,0.11,1.32,Lobster; boiled/cooked in water,90.9
Moule; bouillie/cuite à l'eau,10013,108,17.2,5.12,2.09,Mussel; boiled/cooked in water,108
Bulot ou Buccin; cuit,10020,97.7,20.7,2.69,0.47,Whelk; cooked,97.7
Langouste; bouillie/cuite à l'eau,10022,106,21.8,1.3,1.52,Spiny lobster; boiled/cooked in water,106
Crabe ou Tourteau; bouilli/cuit à l'eau,10025,124,19.5,1.79,4.29,Crab; boiled/cooked in water,124
Clam; Praire ou Palourde; bouilli/cuit à l'eau,10027,99.2,16.2,5.33,1.48,Clam; boiled/cooked in water,99.2
Écrevisse; cuite,10031,73.5,16.3,0.56,0.7,Crayfish; cooked,73.5
Crevette rose bouquet; cuite,10033,0,22.8,0,1.27,Prawn; common; cooked,102.63
Calmar ou calamar ou encornet; bouilli/cuit à l'eau,10037,149,32.5,1.64,1.4,Squid; boiled/cooked in water,149
Fruits de mer (aliment moyen),10043,104,18.9,3.06,1.76,Crustacean or mollusk (average),104
Langoustine; bouillie/cuite à l'eau,10044,0,20.9,0,0.98,Norway lobster; boiled/cooked in water,92.41999999999999
Araignée de mer; cuite,10057,0,18.3,0,3.8,Spinous spider crab; boiled,107.4
Crevette pattes blanches; cuite,10061,0,22.6,0,0.96,Whiteleg shrimp; boiled,99.04
Crevette géante tigrée; cuite,10062,0,23.4,0,0.98,Giant tiger prawn; cooked,102.41999999999999
Crevette royale rose; cuite,10064,0,26.6,0,1.18,Pinkspotted shrimp; cooked,117.02000000000001
Poulpe; cuit,10079,156,29.8,4.4,2.08,Octopus; common; cooked,156
Fruits de mer; cuits; surgelés,10080,79.5,13.5,2.83,1.57,Seafood; cooked; frozen,79.5
Calmar ou calamar ou encornet; frit ou poêlé avec matière grasse,10084,173,17.9,8.45,7.48,Squid; fried or pan-fried with fat,173
Escargot; sans matière grasse ajoutée; cuit,10099,80,16.6,0.23,1.4,Snail; without added fat; cooked,80
Grenouille; cuisse; grillée/poêlée,34501,0,21.9,0,0.9,Frog; leg; grilled/pan-fried,95.69999999999999
Calmar ou calamar ou encornet; cru,10001,77,14.4,2.17,1.19,Squid; raw,77
Coquille Saint-Jacques; noix et corail; crue,10003,83,17,0.78,1.31,Scallop; with coral; raw,83
Escargot; cru,10008,77.9,16.1,1.29,0.92,Snail; raw,77.9
Homard; cru,10010,85.5,17.9,0.94,1.15,Lobster; raw,85.5
Huître; sans précision; crue,10011,67.2,8.64,3.86,1.91,Oyster; raw,67.2
Moule commune; crue,10014,71.8,11.2,2.69,1.82,Mussel; common; raw,71.8
Langouste; crue,10015,86.9,17.7,1.07,1.34,Spiny lobster; raw,86.9
Seiche; crue,10016,76.3,16.2,0.51,1.05,Cuttlefish; raw,76.3
Clam; Praire ou Palourde; cru,10017,80.5,11.5,2.66,2.65,Clam; raw,80.5
Poulpe; cru,10018,60.1,12.9,0.97,0.5,Octopus; common; raw,60.1
Bulot ou Buccin; cru,10019,131,23.8,7.61,0.57,Whelk; raw,131
Crevette; crue,10021,99,19.7,3.21,0.84,Shrimp or prawn; raw,99
Langoustine; crue,10024,89.8,19.1,1.53,0.79,Norway lobster; raw,89.8
Moule de Méditerranée; crue,10026,68.7,10.7,2.77,1.67,Mediterranean mussel; raw,68.7
Écrevisse; crue,10030,68.3,14.8,0.81,0.64,Crayfish; raw,68.3
Huître creuse; crue,10035,67.2,8.64,3.86,1.91,Pacific oyster; raw,67.2
Huître plate; crue,10036,53.5,10.2,1.16,0.9,European oyster; raw,53.5
Crevette; surgelée; crue,10038,105,23.4,0.74,0.9,Shrimp; frozen; raw,105
Crabe; cru,10039,104,19.5,0.027,2.86,Crab; raw,104
Ormeau; cru,10041,99.6,14.4,8.69,0.83,Abalone or ormer or sea ear; raw,99.6
Coquille Saint-Jacques; noix; crue,10045,83.6,17.9,1.15,0.84,Scallop; without coral; raw,83.6
Pecten d'Amérique ou Peigne du canada; noix; crue,10048,81.3,17.3,1.78,0.54,American or Canadian sea scallop; without coral; raw,81.3
Pétoncle ou Peigne du Pérou; noix; crue,10049,88.7,17.5,3.1,0.7,Peru sea scallop; without coral; raw,88.7
Crevette rose; crue,10059,92.3,21.9,0,0.53,deep water pink shrimp; raw,92.3
Grenouille; cuisse; crue,34500,70,16.2,0.66,0.28,Frog; leg; raw,70
Rillettes de crabe; préemballées,8059,192,12.2,3.5,13.6,Rillettes; crab; prepacked,192
Rillettes de poisson; préemballées,8080,243,13.9,0.3,20.7,Rillette; fish; prepacked,243
Rillettes de saumon; préemballées,8081,237,15.1,2,18.4,Rillettes; salmon; prepacked,237
Rillettes de thon; préemballées,8082,199,16.4,1.65,13.8,Rillettes; tuna; prepacked,199
Rillettes de maquereau; préemballées,8083,246,11,1,22,Rillettes; mackerel; prepacked,246
Terrine de poisson; préemballée,8291,171,11,5.5,11.4,Fish terrine; prepacked,171
Terrine de fruits de mer; avec ou sans poisson; préemballée,8292,188,8.4,6.5,14,Seafood terrine; with or without fish; prepacked,188
Tarama; préemballé,8293,534,6.75,3.19,54.8,Taramasalata; prepacked,534
Calmar ou Calamar ou encornet; à la romaine (beignet),10002,252,8.69,21.2,14.4,Squid fritter; Roman-style,252
Crabe; miettes et ou pattes décortiquées; appertisé; égoutté,10005,111,14.8,8.72,1.8,Flaked crab and/or decorticated crab leg; canned; drained,111
Langoustine; panée; frite,10012,282,10.9,29,13.6,Scampi; breaded; fried,282
Beignet de crevette,10023,222,6.5,26,10,Shrimp fritters,222
Moule; appertisée; égouttée,10028,102,14.6,5.93,2.2,Mussel; canned; drained,102
Escargot en sauce au beurre persillé; préemballé; cuit,10042,277,12.9,2.26,23.7,Snail in parsley butter; prepacked; cooked,277
Moules à la sauce catalane ou escabèche (tomate); appertisée; égouttée,10081,145,12.5,5,7.9,Mussels; in Catalan-style sauce or marinade (tomatoes); canned; drained,145
Accra de poisson,25433,275,12.4,15.1,17.6,Caribbean-style fish fritters; fish acras,275
Carpaccio de saumon avec marinade,25537,194,19.8,0.22,12.7,Salmon carpaccio; w marinade,194
Maquereau; filet grillé; appertisé; nature; égoutté,25995,246,19.7,0.55,18.3,Mackerel; grilled filet; canned; plain; drained,246
Anchois; filets roulés aux câpres; semi-conserve; égoutté,25999,198,24.8,1.48,10.3,Anchovy; fillets; rolled with capers; semi-preserved; drained,198
Anchois; filets à l'huile; semi-conserve; égoutté,26000,182,26.4,0,8.45,Anchovy; fillets; in oil; semi-preserved; drained,182
Carrelet ou plie; pané; frit,26002,242,13.4,8.86,16.8,European plaice; breaded; fried,242
Oeufs de lompe; semi-conserve,26004,111,10.4,1,7.27,Lump roe; semi-preserved,111
Caviar; semi-conserve,26005,254,25,0,17.1,Caviar; semi-preserved,254
Hareng mariné ou rollmops,26010,211,13.7,8,13.8,Atlantic herring; marinated; or rollmops,211
Limande-sole; panée; frite,26016,206,16.7,11.9,10.2,Lemon sole; breaded; fried,206
Pilchard; sauce tomate; appertisé; égoutté,26027,167,13,3.99,11,Pilchard; in tomato sauce; canned; drained,167
Poisson; croquette ou beignet ou nuggets; frit,26028,255,13.2,18.4,13.7,Fish; croquette; fritter or nuggets; fried,255
Poisson pané; surgelé; cru,26029,162,11,16.1,5.73,Fish; breaded; frozen; raw,162
Poisson pané; frit,26030,193,11.9,13.4,10,Fish; breaded; fried,193
Sardine; à l'huile; appertisée; égouttée,26034,207,24.4,0.49,12,European pilchard or sardine; in oil; canned; drained,207
Sardine; sauce tomate; appertisée; égouttée,26035,193,20.2,1.38,11.6,European pilchard or sardine; in tomato sauce; canned; drained,193
Thon; au naturel; appertisé; égoutté,26039,111,26.8,0,0.4,Tuna; plain; canned; drained,111
Sardine; à l'huile d'olive; appertisée; égouttée,26040,202,24.3,1.06,11.2,European pilchard or sardine; in olive oil; canned; drained,202
Surimi; bâtonnets; tranche ou râpé saveur crabe,26046,125,8.31,11.8,4.92,Surimi; on sticks; in slices or grated; crab flavour,125
Oeufs de cabillaud; fumés; semi-conserve,26056,146,26.9,0.1,4.2,Cod roe; smoked; semi-preserved,146
Thon germon ou thon blanc; cuit à la vapeur sous pression,26077,165,30,0,5.06,Albacore; steamed under pressure,165
Maquereau; filet sauce tomate; appertisé; égoutté,26086,227,17.7,1.94,16.3,Mackerel; fillet; in tomato sauce; canned; drained,227
Maquereau; filet sauce moutarde; appertisé; égoutté,26096,217,20.8,1.09,14.2,Mackerel; fillet; in mustard sauce; canned; drained,217
Maquereau; filet au vin blanc; appertisé; égoutté,26097,207,17.8,2.25,14.1,Mackerel; fillet; in white wine; canned; drained,207
Saumon; appertisé; égoutté,26119,180,20.5,1.5,10.2,Salmon; canned; drained,180
Maquereau; au naturel; appertisé; égoutté,26123,189,21.6,0,11.4,Mackerel; canned in brine; drained,189
Merlan; pané,26124,190,12.6,13,9.57,Whiting; breaded,190
Foie de morue; appertisé; égoutté,26142,433,7.25,1.1,44.4,Cod liver; canned; drained,433
Oeufs de truite; semi-conserve,26151,0,26.3,0,9.5,Trout egges; canned,190.7
Anchois au sel (anchoité; semi-conserve),26177,128,25,0,3.1,Anchovy; in salt (semi-preserved),128
Thon germon ou thon blanc; à l'huile d'olive; appertisé; égoutté,26179,192,31.3,1.01,6.95,Albacore; in olive oil; canned; drained,192
Thon à l'huile de tournesol; entier; appertisé; égoutté,26180,206,23.3,0.76,12.2,Tuna; whole slice; in sunflower oil; canned; drained,206
Thon albacore ou thon jaune; au naturel; appertisé; égoutté,26181,128,26.6,0.58,1.98,Yellowfin tuna; canned in brine; drained,128
Maquereau; mariné,26186,185,16.3,0,13.3,Mackerel; marinated,185
Anchois commun; mariné; préemballé,26187,136,23.9,2.7,3.26,Common anchovy; marinated; prepacked,136
Sardine; filets sans arêtes à l'huile d'olive; appertisés; égouttés,26231,213,21.5,0.62,13.9,European pilchard or sardine; fillets without fishbone; in olive oil; canned; drained,213
Surimi; fourré au fromage,26239,149,6.6,9.24,9.3,Surimi; filled w cheese,149
Thon à la tomate; miettes; appertisées; égouttées,26242,130,14.6,4.33,5.93,Tuna; flaked; in tomato sauce; canned; drained,130
Thon; à la catalane ou à l'escabèche (sauce tomate); appertisé,26243,142,10.8,5.05,8.6,Tuna; in Catalan-style or in tomato sauce; canned,142
Thon à l'huile de tournesol; miettes; appertisées; égouttées,26245,227,23.4,0,14.8,Tuna; flaked; in sunflower oil; canned; drained,227
Oeufs de saumon; semi-conserve,26275,224,30.8,1.5,10.5,Salmon roe; semi-preserved,224
Oeuf; blanc (blanc d'oeuf); cuit,22008,47.3,10.3,1.12,0.17,Egg white; cooked,47.3
Oeuf; jaune (jaune d'oeuf); cuit,22009,340,16,1.31,30.1,Egg yolk; cooked,340
Oeuf; dur,22010,134,13.5,0.52,8.62,Egg; hard-boiled,134
Oeuf; poché,22011,138,12.5,0.71,9.47,Egg; poached,138
Oeuf; à la coque,22014,142,12.2,1.08,9.82,Egg; soft-boiled,142
Oeuf; au plat; frit; salé,22501,204,14.3,0.74,16,Egg; fried; salted,204
Oeuf; brouillé; avec matière grasse,22502,145,9.99,1.62,11,Egg; scrambled; with added fat,145
Oeuf; au plat; sans matière grasse,22505,147,13.8,1.01,9.72,Egg; fried without added fat,147
Oeuf; cru,22000,140,12.7,0.27,9.83,Egg; raw,140
Oeuf; blanc (blanc d'oeuf); cru,22001,48.1,10.8,0.85,0.19,Egg white; raw,48.1
Oeuf; jaune (jaune d'oeuf); cru,22002,307,15.5,1.09,26.7,Egg yolk; raw,307
Oeuf de caille; cru,22050,154,13.1,0.41,11.1,Quail egg; raw,154
Oeuf de cane; cru,22060,181,13,1.31,13.8,Duck egg; raw,181
Oeuf d'oie; cru,22070,180,13.8,1.4,13.3,Goose egg; raw,180
Oeuf de dinde; cru,22080,166,13.7,1.13,11.9,Turkey egg; raw,166
Oeuf; jaune (jaune d'oeuf); en poudre,22003,660,34.1,2.77,57,Egg yolk; powder,660
Oeuf; blanc (blanc d'oeuf); en poudre,22004,356,81.2,7.73,0,Egg white; powder,356
Oeuf; en poudre,22013,582,47.9,3.11,42,Egg; powder,582
Omelette au fromage,22506,255,17.7,2.56,19.3,Omelette; with cheese,255
Omelette aux lardons,22507,267,12.5,1.46,23.5,Omelette; with lardoons,267
Omelette aux champignons,22508,125,8.09,2.28,9.2,Omelette; with mushrooms,125
Omelette aux fines herbes,22509,147,9.5,1.98,11.2,Omelette; with herbs,147
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons); préemballée,22510,165,5.56,11.7,9.9,Spanish-style tortilla with onions (omelette with potatoes and onions); prepacked,165
Omelette; garnitures diverses : légumes; fromages; viandes... (aliment moyen),22511,184,9.82,5.07,13.5,Omelette; with vegetables; cheese; meat,184
Protéine de soja texturée; réhydratée,20591,150,18.6,7.03,2.9,Soy protein; textured; rehydrated,150
Tofu nature; préemballé,20904,148,13.4,2.87,8.5,Tofu; plain,148
Tofu fumé; préemballé,20912,164,14.9,2.91,9.5,Tofu; smoked,164
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens); préemballé,25223,157,19.5,6.76,3.7,Soy and wheat burger or bite (vegan),157
Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens); préemballé,25224,185,17.6,8.19,7,Soy and wheat burger or bite (not vegan),185
Seitan; préemballé,25598,134,20.6,6.74,2.5,Seitan,134
Lait entier; UHT,19023,65.1,3.32,4.85,3.63,Milk; whole; UHT,65.1
Lait entier; pasteurisé,19024,56.5,3.3,3.47,3.3,Milk; whole; pasteurised,56.5
Lait demi-écrémé; UHT; enrichi en vitamine D seulement,19037,46.6,3.38,4.8,1.52,Milk;  1;2% fat; vitamin D fortified; UHT,46.6
Lait à 1;2% de matière grasse; UHT; enrichi en plusieurs vitamines,19038,44.1,3.38,4.79,1.25,Milk; 1;2% fat; multi-vitamin fortified; UHT,44.1
Lait; teneur en matière grasse inconnue; UHT (aliment moyen),19039,47.3,3.38,4.82,1.59,Milk; fat content unknown; UHT sterilized,47.3
Lait demi-écrémé; UHT,19041,47,3.38,4.83,1.55,Milk; semi-skimmed; UHT,47
Lait demi-écrémé; pasteurisé,19042,46.4,3.19,4.9,1.54,Milk; semi-skimmed; pasteurised,46.4
Lait écrémé; UHT,19050,33.4,3.51,4.64,0.06,Milk; skimmed; UHT,33.4
Lait écrémé; pasteurisé,19051,34.5,3.28,4.99,0.19,Milk; skimmed; pasteurised,34.5
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,19060,44.4,3.45,4.69,1.29,Milk; semi-skimmed; reduced lactose,44.4
Lait de chèvre; entier; UHT,19200,56.1,3.39,4.35,2.83,Goat milk; whole; UHT,56.1
Lait de chèvre; demi-écrémé; UHT,19201,45.8,3.77,4.13,1.57,Goat milk; half skimmed; UHT pasteurized,45.8
Lait de chèvre; entier; cru,19202,57.4,3.22,4.01,3.2,Goat milk; whole; raw,57.4
Lait de jument; entier,19225,50,2.41,6.18,1.73,Mare's milk; whole,50
Lait de brebis; entier,19250,103,5.68,4.5,6.97,Sheep milk; whole,103
Lait en poudre; entier,19021,499,27.4,37.5,26.8,Milk; powder; whole,499
Lait concentré non sucré; entier,19026,122,6.44,9.91,5.9,Condensed milk; without sugar; whole,122
Lait concentré sucré; entier,19027,323,7.7,55.6,7.87,Condensed milk; with sugar; whole,323
Lait en poudre; demi-écrémé,19044,459,31.5,43.4,17.5,Milk; powder; semi-skimmed,459
Lait en poudre; écrémé,19054,361,35.3,54,0.7,Milk; powder; skimmed,361
Boisson lactée; lait fermenté ou yaourt à boire; aromatisé; avec édulcorants; allégé en sucres; 0% MG; au L Casei,19500,0,2.9,3.64,0.1,Milk beverage; fermented milk or drinking yogurt; flavoured; sweetened; sugar reduced; 0% fat; with L Casei,27.06
Boisson lactée; lait fermenté ou yaourt à boire; aromatisé; sucré,19508,73.7,2.98,11.6,1.4,Dairy drink or fermented milk or yogurt; flavoured; with sugar,73.7
Boisson lactée; lait fermenté ou yaourt à boire; aromatisé; sucré; au L Casei,19516,0,2.81,12.7,1.52,Milk beverage; fermented milk or drinking yogurt; flavoured; w L Casei,75.72
Boisson lactée; lait fermenté ou yaourt à boire; aromatisé; sucré; enrichi en vitamine D,19534,0,3.08,12.6,1.2,Milk beverage; fermented milk or drinking yogurt; flavoured; fortified with vitamin D,73.52
Boisson lactée; lait fermenté ou yaourt à boire; aux fruits; sucré,19535,82.8,3.09,13.1,1.69,Dairy drink or fermented milk or yogurt; with fruits; with sugar,82.8
Boisson lactée; lait fermenté ou yaourt à boire; aux fruits; sucré; enrichie en vitamine D,19536,0,3.03,13.9,1.5,Milk beverage; fermented milk or drinking yogurt; with fruits; fortifed with vitamin D,81.22
Boisson lactée; lait fermenté ou yaourt à boire; nature; sucré; au L Casei,19538,0,2.76,12.9,1.6,Dairy drink or fermented milk or yogurt; plain; with sugar; with L Casei,77.04
Lait fermenté ou spécialité laitière type yaourt; aromatisé; sucré; au bifidus,19539,94.4,3.83,11.5,3.1,Fermented milk or dairy specialty; yogurt type; flavoured; with sugar; with bifidus,94.4
Lait fermenté ou spécialité laitière type yaourt; aux fruits; avec édulcorants; 0% MG; au bifidus,19541,0,4.67,6.71,0.094,Fermented milk or yogurt type specialty; w fruits; w sweetener; 0% fat; with bifidus,46.36599999999999
Lait fermenté ou spécialité laitière type yaourt; aux fruits; sucré; au bifidus,19542,97.2,3.57,13,3.01,Fermented milk or dairy specialty; yogurt type; with fruits; with sugar; with bifidus,97.2
Lait fermenté ou spécialité laitière type yaourt; aux fruits; 0% MG; avec édulcorants; aux esters de stérol,19543,0,3.88,6.6,0.5,Fermented milk or yogurt type specialty; with fruits; sweetend; with sterol esters; 0% fat,46.42
Lait fermenté ou spécialité laitière type yaourt; nature; 0% MG; au bifidus,19544,0,4.39,5.75,0.3,Fermented milk or yogurt type specialty; plain; 0% fat; w bifidus,43.260000000000005
Lait fermenté ou spécialité laitière type yaourt; nature; au bifidus,19546,64.5,3.84,3.47,3.6,Fermented milk or dairy specialty; yogurt type; plain; with bifidus,64.5
Lait fermenté ou spécialité laitière type yaourt; sur lit de fruits; sucré; au bifidus,19548,0,3.81,13.3,2.72,Fermented milk or yogurt type specialty; on a bed of fruits; w sugar; with bifidus,92.92
Yaourt à la grecque; au lait de brebis,19550,69.1,3.84,4.99,3.4,Yogurt; Greek-style; ewe's milk,69.1
Yaourt à la grecque; sur lit de fruits,19552,0,2.31,16.3,6.3,Yogurt; Greek-style; on a bed of fruits,131.14
Yaourt au lait de brebis; aromatisé; sucré,19553,93.7,5.04,9.33,3.7,Yogurt; ewe's milk; flavoured; w sugar,93.7
Yaourt au lait de brebis; nature; 3% MG environ,19554,0,5.72,4.6,3,Yogurt; ewe's milk; plain; 3% fat,68.28
Yaourt au lait de chèvre; nature; 5% MG environ,19556,73.4,4.15,1.12,5.2,Yogurt; goat's milk; plain; around 5% fat,73.4
Yaourt; lait fermenté ou spécialité laitière sur lit de fruits; sucré,19557,0,2.95,15.2,3.91,Yogurt; fermented milk or dairy specialty; on a bed of fruits; w sugar,107.78999999999999
Yaourt; lait fermenté ou spécialité laitière; aux céréales; 0% MG,19558,0,4.63,8.25,1.08,Yogurt; fermented milk or dairy specialty; with cereals; fat free,61.239999999999995
Yaourt; lait fermenté ou spécialité laitière; aromatisé; avec édulcorants; 0% MG,19559,54.5,4.53,8.29,0.06,Yogurt; fermented milk or dairy specialty; flavoured; with sweetener; fat free,54.5
Yaourt; lait fermenté ou spécialité laitière; aromatisé; sucré,19575,89.1,3.42,12.2,2.6,Yogurt; fermented milk or dairy specialty; flavoured; with sugar,89.1
Yaourt; lait fermenté ou spécialité laitière; aromatisé; sucré; à la crème,19577,0,3.08,13.4,5.45,Yogurt; fermented milk or dairy specialty; flavoured; w sugar; with cream,114.97
Yaourt; lait fermenté ou spécialité laitière; aromatisé; sucré; enrichi en vitamine D,19578,0,3.43,13.6,1.79,Yogurt; fermented milk or dairy specialty; flavoured; with sugar; fortified with vitamin D,84.23
Yaourt; lait fermenté ou spécialité laitière; aux céréales,19579,0,3.64,11.3,3.43,Yogurt; fermented milk or dairy specialty; w cereals,90.63000000000001
Yaourt; lait fermenté ou spécialité laitière; aux copeaux de chocolat; à la crème; sucré,19580,122,3.51,14.1,5.1,Yogurt; fermented milk or dairy specialty; with chocolate shavings; with cream; with sugar,122
Yaourt; lait fermenté ou spécialité laitière; aux fruits; avec édulcorants; 0% MG,19581,38.9,4.21,3.72,0,Yogurt; fermented milk or dairy specialty; with fruits; with sweetener; fat free,38.9
Yaourt; lait fermenté ou spécialité laitière; aux fruits; avec édulcorants; 0% MG; enrichi en vitamine D,19582,0,4.54,7.45,0.097,Yogurt; fermented milk or dairy specialty; with fruits; with sweetener; fat free; fortified with vitamin D,48.833
Yaourt; lait fermenté ou spécialité laitière; aux fruits; sucré,19587,95.7,3.61,14.2,2.4,Yogurt; fermented milk or dairy specialty; w fruits; with sugar,95.7
Yaourt; lait fermenté ou spécialité laitière; aux fruits; sucré; à la crème,19589,109,2.42,14.5,4.28,Yogurt; fermented milk or dairy specialty; w fruits; with sugar; with cream,109
Yaourt; lait fermenté ou spécialité laitière; aux fruits; sucré; enrichi en vitamine D,19592,0,3.51,14,2.35,Yogurt; fermented milk or dairy specialty; with fruits; with sugar; fortified with vitamin D,91.19
Yaourt; lait fermenté ou spécialité laitière; nature,19593,45.5,3.96,2.65,1.5,Yogurt; fermented milk or dairy specialty; plain,45.5
Yaourt; lait fermenté ou spécialité laitière; nature; 0% MG,19594,39.4,4.82,4.1,0.064,Yogurt; fermented milk or dairy specialty; plain; fat free,39.4
Yaourt; lait fermenté ou spécialité laitière; nature; 0% MG; enrichi en vitamine D,19596,0,4.59,5,0,Yogurt; fermented milk or dairy specialty; plain; 0% fat; fortified with vitamin D,38.36
Yaourt; lait fermenté ou spécialité laitière; nature; 0% MG; sucré; enrichi en vitamine D,19597,0,4.41,5.4,1.17,Yogurt; fermented milk or dairy specialty; plain; 0% fat; with sugar; fortified with vitamin D,49.77
Yaourt; lait fermenté ou spécialité laitière; nature; à la crème,19598,115,3.06,3.08,9.8,Yogurt; fermented milk or dairy specialty; plain; w cream,115
